L	T	mean |M|	naive se	50-block se	error ratio	tau_int
32	1.50	0.986333	0.000088	0.000144	1.64	1.59
32	1.60	0.979596	0.000117	0.000207	1.77	1.99
32	1.70	0.970798	0.000149	0.000295	1.99	2.05
32	1.80	0.956559	0.000197	0.000468	2.37	2.74
32	1.90	0.937880	0.000288	0.000890	3.09	5.41
32	2.00	0.911743	0.000084	0.000302	3.58	7.80
32	2.05	0.892782	0.000108	0.000654	6.07	13.89
32	2.10	0.867956	0.000139	0.000965	6.94	18.83
32	2.15	0.836345	0.000185	0.001429	7.74	32.47
32	2.20	0.789137	0.000258	0.002670	10.36	50.57
32	2.25	0.697239	0.000484	0.007416	15.32	183.92
32	2.30	0.562403	0.000667	0.012504	18.75	171.08
32	2.35	0.424600	0.000695	0.010797	15.53	150.85
32	2.40	0.313071	0.000609	0.009290	15.24	104.98
32	2.45	0.247564	0.000525	0.005392	10.27	54.78
32	2.50	0.195267	0.000434	0.004325	9.98	38.47
32	2.55	0.171761	0.000390	0.002374	6.08	28.21
32	2.60	0.149996	0.000347	0.002216	6.38	22.28
32	2.70	0.128324	0.001281	0.006564	5.12	12.18
32	2.80	0.095835	0.001006	0.004536	4.51	10.60
32	2.90	0.092551	0.001007	0.004011	3.98	8.43
32	3.00	0.086347	0.000921	0.003502	3.80	7.87
32	3.10	0.074435	0.000825	0.002974	3.60	5.57
32	3.20	0.071950	0.000762	0.001917	2.52	3.87
32	3.30	0.068621	0.000719	0.001473	2.05	2.92
32	3.40	0.063222	0.000681	0.001717	2.52	2.93
32	3.50	0.060128	0.000651	0.001591	2.44	2.65
64	1.50	0.986417	0.000045	0.000070	1.55	1.58
64	1.60	0.979515	0.000058	0.000120	2.08	1.86
64	1.70	0.970111	0.000076	0.000197	2.57	2.73
64	1.80	0.956825	0.000099	0.000220	2.22	2.81
64	1.90	0.937681	0.000141	0.000452	3.20	6.76
64	2.00	0.911336	0.000044	0.000184	4.21	9.54
64	2.05	0.892694	0.000054	0.000282	5.25	14.80
64	2.10	0.868821	0.000069	0.000438	6.40	20.99
64	2.15	0.834408	0.000106	0.001358	12.75	89.39
64	2.20	0.777325	0.000201	0.003466	17.26	269.65
64	2.25	0.674714	0.000392	0.010567	26.97	554.22
64	2.30	0.420549	0.000677	0.023743	35.09	1039.18
64	2.35	0.262248	0.000510	0.011317	22.19	284.14
64	2.40	0.159202	0.000372	0.005611	15.07	141.33
64	2.45	0.123069	0.000282	0.003724	13.19	76.40
64	2.50	0.097825	0.000228	0.002129	9.36	40.91
64	2.55	0.082168	0.000195	0.001640	8.40	33.00
64	2.60	0.073713	0.000175	0.001229	7.01	21.88
64	2.70	0.058376	0.000612	0.003136	5.13	16.86
64	2.80	0.052656	0.000531	0.001794	3.38	7.03
64	2.90	0.043579	0.000479	0.001350	2.82	6.39
64	3.00	0.042724	0.000459	0.001598	3.48	5.83
64	3.10	0.040324	0.000439	0.001427	3.25	5.40
64	3.20	0.034531	0.000378	0.001130	2.99	4.15
64	3.30	0.035462	0.000381	0.000942	2.47	3.41
64	3.40	0.031707	0.000340	0.000761	2.24	2.73
64	3.50	0.030554	0.000329	0.000683	2.08	2.67
